@RELATION CATEGORY
@ATTRIBUTE class   {NNHEAD,QUOTED,SIG,#BLANK#,TABLE,GRAPHIC,HEADL,ADDRESS,ITEM,PTEXT}
@ATTRIBUTE blockLen   NUMERIC
@ATTRIBUTE nnheadlikelihood   NUMERIC
@ATTRIBUTE quotedlikelihood   NUMERIC
@ATTRIBUTE signatureImportant   {1,0}
@ATTRIBUTE signaturelikelihood   NUMERIC
@ATTRIBUTE graphiclikelihood   NUMERIC
@ATTRIBUTE tablelikelihood   NUMERIC
@ATTRIBUTE addresslikelihood   NUMERIC
@ATTRIBUTE itemlikelihood   NUMERIC
@ATTRIBUTE headerEndinPeriod   {1,0}
@ATTRIBUTE headerCapitalized   NUMERIC
@ATTRIBUTE headerIndented   NUMERIC
@ATTRIBUTE wordsperline   NUMERIC
@ATTRIBUTE blankperline   NUMERIC
@DATA
NNHEAD,15,6,0.0,0,0.0,0.4,3.02222222222,0.0666666666667,0,0,0.892307692308,1.0,4.33333333333,3.33333333333
NNHEAD,15,6,0.0,0,0.0,0.4,3.02222222222,0.0666666666667,0,0,0.892307692308,1.0,4.33333333333,3.33333333333
NNHEAD,15,6,0.0,0,0.0,0.4,3.02222222222,0.0666666666667,0,0,0.892307692308,1.0,4.33333333333,3.33333333333
NNHEAD,15,6,0.0,0,0.0,0.4,3.02222222222,0.0666666666667,0,0,0.892307692308,1.0,4.33333333333,3.33333333333
NNHEAD,15,6,0.0,0,0.0,0.4,3.02222222222,0.0666666666667,0,0,0.892307692308,1.0,4.33333333333,3.33333333333
PTEXT,1,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.571428571429,1.0,7.0,7.0
PTEXT,1,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.4,1.0,15.0,15.0
GRAPHIC,7,0,0.0,0,0.857142857143,23.1428571429,17.6326530612,0.142857142857,5,0,0.202247191011,2.57142857143,12.7142857143,32.2857142857
GRAPHIC,7,0,0.0,0,0.857142857143,23.1428571429,17.6326530612,0.142857142857,5,0,0.202247191011,2.57142857143,12.7142857143,32.2857142857
GRAPHIC,7,0,0.0,0,0.857142857143,23.1428571429,17.6326530612,0.142857142857,5,0,0.202247191011,2.57142857143,12.7142857143,32.2857142857
GRAPHIC,7,0,0.0,0,0.857142857143,23.1428571429,17.6326530612,0.142857142857,5,0,0.202247191011,2.57142857143,12.7142857143,32.2857142857
GRAPHIC,7,0,0.0,0,0.857142857143,23.1428571429,17.6326530612,0.142857142857,5,0,0.202247191011,2.57142857143,12.7142857143,32.2857142857
GRAPHIC,7,0,0.0,0,0.857142857143,23.1428571429,17.6326530612,0.142857142857,5,0,0.202247191011,2.57142857143,12.7142857143,32.2857142857
GRAPHIC,7,0,0.0,0,0.857142857143,23.1428571429,17.6326530612,0.142857142857,5,0,0.202247191011,2.57142857143,12.7142857143,32.2857142857
PTEXT,3,0,0.0,0,0.0,0.666666666667,14.8888888889,0.0,0,0,0.354838709677,1.0,10.3333333333,10.0
PTEXT,3,0,0.0,0,0.0,0.666666666667,14.8888888889,0.0,0,0,0.354838709677,1.0,10.3333333333,10.0
PTEXT,3,0,0.0,0,0.0,0.666666666667,14.8888888889,0.0,0,0,0.354838709677,1.0,10.3333333333,10.0
PTEXT,2,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.875,1.0,4.0,3.0
PTEXT,2,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.875,1.0,4.0,3.0
NNHEAD,13,6,0.0,0,0.0,0.384615384615,3.92899408284,0.0,0,0,0.966666666667,1.0,4.61538461538,3.61538461538
NNHEAD,13,6,0.0,0,0.0,0.384615384615,3.92899408284,0.0,0,0,0.966666666667,1.0,4.61538461538,3.61538461538
NNHEAD,13,6,0.0,0,0.0,0.384615384615,3.92899408284,0.0,0,0,0.966666666667,1.0,4.61538461538,3.61538461538
NNHEAD,13,6,0.0,0,0.0,0.384615384615,3.92899408284,0.0,0,0,0.966666666667,1.0,4.61538461538,3.61538461538
NNHEAD,13,6,0.0,0,0.0,0.384615384615,3.92899408284,0.0,0,0,0.966666666667,1.0,4.61538461538,3.61538461538
NNHEAD,13,6,0.0,0,0.0,0.384615384615,3.92899408284,0.0,0,0,0.966666666667,1.0,4.61538461538,3.61538461538
NNHEAD,13,6,0.0,0,0.0,0.384615384615,3.92899408284,0.0,0,0,0.966666666667,1.0,4.61538461538,3.61538461538
NNHEAD,13,6,0.0,0,0.0,0.384615384615,3.92899408284,0.0,0,0,0.966666666667,1.0,4.61538461538,3.61538461538
NNHEAD,13,6,0.0,0,0.0,0.384615384615,3.92899408284,0.0,0,0,0.966666666667,1.0,4.61538461538,3.61538461538
NNHEAD,13,6,0.0,0,0.0,0.384615384615,3.92899408284,0.0,0,0,0.966666666667,1.0,4.61538461538,3.61538461538
NNHEAD,13,6,0.0,0,0.0,0.384615384615,3.92899408284,0.0,0,0,0.966666666667,1.0,4.61538461538,3.61538461538
NNHEAD,13,6,0.0,0,0.0,0.384615384615,3.92899408284,0.0,0,0,0.966666666667,1.0,4.61538461538,3.61538461538
NNHEAD,13,6,0.0,0,0.0,0.384615384615,3.92899408284,0.0,0,0,0.966666666667,1.0,4.61538461538,3.61538461538
GRAPHIC,1,0,0.0,0,0.0,73.0,0.0,0.0,0,0,1.0,1.0,2.0,1.0
HEADL,2,0,0.0,0,0.0,0.5,1.0,0.0,0,0,1.125,5.5,4.0,7.5
HEADL,2,0,0.0,0,0.0,0.5,1.0,0.0,0,0,1.125,5.5,4.0,7.5
PTEXT,4,0,0.0,0,0.0,1.5,12.5,0.25,0,0,0.318181818182,1.0,11.0,10.5
PTEXT,4,0,0.0,0,0.0,1.5,12.5,0.25,0,0,0.318181818182,1.0,11.0,10.5
PTEXT,4,0,0.0,0,0.0,1.5,12.5,0.25,0,0,0.318181818182,1.0,11.0,10.5
PTEXT,4,0,0.0,0,0.0,1.5,12.5,0.25,0,0,0.318181818182,1.0,11.0,10.5
PTEXT,10,0,0.0,0,0.0,0.2,16.89,0.3,0,0,0.311926605505,1.0,10.9,10.0
PTEXT,10,0,0.0,0,0.0,0.2,16.89,0.3,0,0,0.311926605505,1.0,10.9,10.0
PTEXT,10,0,0.0,0,0.0,0.2,16.89,0.3,0,0,0.311926605505,1.0,10.9,10.0
PTEXT,10,0,0.0,0,0.0,0.2,16.89,0.3,0,0,0.311926605505,1.0,10.9,10.0
PTEXT,10,0,0.0,0,0.0,0.2,16.89,0.3,0,0,0.311926605505,1.0,10.9,10.0
PTEXT,10,0,0.0,0,0.0,0.2,16.89,0.3,0,0,0.311926605505,1.0,10.9,10.0
PTEXT,10,0,0.0,0,0.0,0.2,16.89,0.3,0,0,0.311926605505,1.0,10.9,10.0
PTEXT,10,0,0.0,0,0.0,0.2,16.89,0.3,0,0,0.311926605505,1.0,10.9,10.0
PTEXT,10,0,0.0,0,0.0,0.2,16.89,0.3,0,0,0.311926605505,1.0,10.9,10.0
PTEXT,10,0,0.0,0,0.0,0.2,16.89,0.3,0,0,0.311926605505,1.0,10.9,10.0
PTEXT,2,0,0.0,0,0.0,0.0,12.25,0.0,0,0,0.545454545455,1.0,5.5,4.5
PTEXT,2,0,0.0,0,0.0,0.0,12.25,0.0,0,0,0.545454545455,1.0,5.5,4.5
